"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Tests","0","0","6","0","0"
"","","","0","1","11","0","1"
"","","Subscription payment was successful","0","0","1","0","0"
"","","Search","0","0","2","0","0"
"","","Flashcards","0","0","6","0","0"
"","","Study Guide","0","0","2","0","2"
"","","Home page","0","0","5","0","0"
"","","Mnemonic Cards","0","0","2","0","0"
"","","Home Page","0","0","3","0","0"
"","","StripeModal","0","0","1","0","0"
"","","Performance","0","0","3","0","0"
"","","Add New Course Page","0","0","2","0","0"
"","","StudyGuide","0","0","1","0","0"
"","","Test page","0","0","1","0","1"
"","","Profile","0","0","1","0","0"
"","","Profile page","0","0","1","0","0"
